UniqueCount	AmbigCount
12	392
0	29
4	879
1	1
0	4
0	1
0	0
0	13
0	13
0	0
0	0
0	0
38	154
0	112
0	20
0	28
2	87
0	23
405	336
250	5761
85	441
0	268
1647	258
1	196
61	1548
0	5
4	5
3	23
16	26
46	1223
6	139
1	195
8	155
0	80
50	135
0	19
0	51
0	3
0	1
0	0
0	1
0	1
0	47
1	2
0	15
0	1
0	0
0	72
0	94
54	173
0	14
0	34
0	189
18	7126
84	99
0	1495
0	500
0	538
1	766
97	322
0	314
0	511
24	343
0	7
0	10
0	0
0	0
0	8
0	3
0	0
0	46
0	17
0	0
1	2718
1839	13617
100	65860
0	406
8	5749
0	78
4329	15556
10	9654
0	1
1	24
0	30
20	51
0	110
0	13
0	176
811	19299
0	3
1	5
0	178
1	13
1	9
1	17
0	15
0	2
0	7
8	7
0	13
0	0
7	2
0	8
0	4
2	4
0	3
0	5
1	5
0	11
4	53
9	12
2	3
3	3
0	6
5	9
1	17
37	17
0	6
135	44
0	10
0	10
0	18
0	10
0	5
0	51
0	22
0	13
0	16
0	6
5	5
0	10
6	43
0	10
0	32
0	3
0	0
0	0
2	26
4	7
0	0
0	0
0	0
0	0
0	0
0	57
0	63
0	63
0	63
0	63
0	63
0	63
0	63
0	63
0	57
0	1
0	0
0	0
0	0
0	0
4	303
49	689
24	685
1	0
0	155
4	24
12	150
3	162
9	38
6	57
8	5
1	11
0	8
0	11
1	0
0	3
0	3
0	3
0	3
1	0
0	14
1	13
10	12
0	9
0	447
0	321
0	11
2	0
92	446
6	84
0	84
0	0
0	1
0	8
1	3
0	0
0	30
0	8
0	25
0	4
0	12
0	17
0	0
0	12
8	0
0	6
0	7
1	14
0	113
0	94
0	110
0	104
17	91
0	109
7	115
0	18
0	82
0	31
0	20
0	21
0	8
0	8
1	8
0	3
0	1
2	3
7	1
4	0
0	0
0	0
0	0
0	0
3	42
0	41
0	1
0	1
1	0
0	0
0	0
0	0
0	52
11	93
7	57
0	59
13	78
26	77
0	25
5	1522
0	1447
1	1391
168	733
6	627
0	512
0	403
260	0
2	4
0	3
1	5
0	2
0	1
14	4
1	782
0	785
1	777
0	532
2	561
1	490
1	445
11	132
0	399
1	329
0	71
1	118
0	129
0	84
0	126
2	8
0	43
11	61
2	59
25	6
0	3
9	3
0	74
0	50
5	69
0	69
0	2
0	70
0	1
0	11
1	701
50	649
6	491
0	418
4	11
0	0
1	76
0	103
3	17
28	110
2	51
26	36
0	20
4	1
9	83
0	30
1	15
0	47
4	57
2	862
0	1187
0	1184
0	670
0	936
0	1215
0	269
0	1047
0	936
87	889
17	731
2	916
0	1180
0	945
0	854
0	966
0	1046
1	383
2	250
6	222
0	830
0	271
0	0
0	376
0	311
1	202
0	222
0	322
0	35
1	82
0	351
0	195
1	169
0	268
0	243
0	244
0	21
4	11
0	155
30	0
0	223
1	195
2	121
0	142
0	160
0	99
0	85
0	102
0	96
0	19
0	9
0	3
3	105
210	138
2	40
43	0
0	430
1	430
0	305
0	87
0	98
2	48
0	23
0	0
2	34
0	16
2	19
0	19
1	11
0	19
0	10
0	10
4	6
0	0
0	0
2	719
231	702
0	701
1	699
8	94
0	19
1	0
130	2006
2	2019
17	1330
22	2248
6	3640
0	2537
0	1691
0	2758
0	2959
0	1288
1	1447
0	593
4	428
7	397
3	367
0	664
30	70
2	236
7	23
0	105
1	129
1	393
24	436
0	48
0	38
0	413
13	437
0	158
52	518
1	264
29	439
43	22
32	214
0	5
0	84
106	210
0	8
0	8
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	0
25	89
0	4
2	4
5	247
71	257
2	35
14	188
47	128
1	221
0	217
0	210
0	210
0	13
6	28
0	26
0	3
0	3
12	0
172	1846
8	1406
1	550
482	206
15	550
0	0
65	0
87	3
0	531
0	538
0	428
0	537
118	588
0	517
0	566
10	103
0	47
0	529
1	28
0	412
0	21
0	10
0	57
0	531
20	443
0	25
0	508
15	493
4	15
6	10
1	472
30	156
10	73
0	48
8	118
0	215
1	181
12	77
0	24
15	28
4	62
2	8
5	42
0	53
0	41
0	30
0	34
1	32
5	14
6	12
147	2281
0	2253
0	2034
