UniqueCount	AmbigCount
1	156
0	10
10	903
1	2
0	4
0	0
0	0
0	10
0	10
0	0
0	0
0	0
35	109
0	84
0	12
0	11
0	44
0	12
204	188
75	2179
40	167
0	157
1140	224
0	165
61	971
1	4
5	4
1	13
1	8
39	1123
8	89
3	162
3	131
0	43
46	127
0	6
0	26
0	1
0	0
0	0
0	0
0	0
0	28
1	0
0	4
0	0
0	0
0	63
0	38
18	111
0	4
0	11
0	100
6	2710
56	46
0	730
1	320
0	330
0	451
47	192
0	191
0	321
9	259
0	4
0	4
0	0
0	0
1	6
0	0
0	0
0	28
0	4
0	0
59	1339
1131	9468
113	56792
0	356
7	4484
1	42
3983	12153
6	6813
0	0
0	12
0	16
13	28
0	47
0	4
1	78
360	8283
0	2
1	4
0	100
1	28
0	21
1	31
0	28
0	3
0	9
7	9
0	6
1	1
3	1
0	7
0	5
1	5
0	4
0	4
0	5
0	6
7	29
10	14
2	0
7	1
0	9
4	9
2	8
40	18
0	3
107	28
0	14
0	9
0	18
1	14
0	5
0	36
0	16
0	7
0	14
0	3
5	10
4	8
2	26
0	11
0	18
0	0
0	0
0	0
2	20
1	4
0	0
0	0
0	0
0	0
0	0
0	29
0	34
0	34
0	34
0	34
0	34
0	34
0	34
0	34
0	29
0	0
0	0
0	0
0	0
0	0
8	255
40	613
46	611
1	0
0	147
8	20
19	148
3	152
11	37
7	39
9	2
0	14
0	11
0	14
0	0
0	5
0	2
0	2
0	2
5	0
0	21
0	18
5	20
0	13
0	371
0	253
0	5
1	0
99	371
3	85
0	85
0	0
0	0
0	7
1	1
0	0
4	39
0	12
1	20
0	1
0	18
1	22
1	0
0	18
10	0
0	11
0	11
2	17
0	114
0	93
0	103
0	97
13	98
0	102
8	118
0	25
0	89
0	38
0	23
0	24
0	10
1	10
1	4
0	5
0	3
0	4
2	2
3	0
0	0
0	0
0	0
1	0
0	27
0	27
0	0
0	0
0	0
0	0
0	0
1	0
0	43
10	70
11	39
1	43
17	73
26	73
0	23
1	1270
0	1215
0	1180
132	620
2	541
0	419
1	387
309	0
0	4
1	4
1	4
1	0
0	0
22	11
1	570
0	568
1	556
3	379
0	404
0	329
1	326
17	79
0	280
1	221
0	47
0	76
0	129
0	89
0	96
1	12
0	42
0	41
6	46
19	7
3	2
6	1
1	54
0	41
8	52
0	51
0	3
0	45
0	0
1	11
4	698
60	663
11	488
0	434
5	8
0	0
2	70
2	114
4	15
52	142
1	72
20	48
0	38
12	0
14	105
4	37
0	15
0	53
5	68
3	658
0	951
0	951
0	527
0	719
0	973
1	224
0	834
0	721
94	700
26	564
2	698
0	946
0	731
